kernel,N,tile_config,promoted,correctness,rel_err,cpu_ms,gpu_ms,speedup
ewise,1,32,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,32,32,no,PASS,0.00e+00,0.001,0.018,0.0
ewise,33,32,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,64,32,no,PASS,0.00e+00,0.000,0.018,0.0
ewise,256,32,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,257,32,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,1024,32,no,PASS,0.00e+00,0.001,0.019,0.0
ewise,1048576,32,no,PASS,0.00e+00,0.462,0.022,21.4
ewise,1,64,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,32,64,no,PASS,0.00e+00,0.000,0.020,0.0
ewise,33,64,no,PASS,0.00e+00,0.000,0.018,0.0
ewise,64,64,no,PASS,0.00e+00,0.000,0.018,0.0
ewise,256,64,no,PASS,0.00e+00,0.000,0.021,0.0
ewise,257,64,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,1024,64,no,PASS,0.00e+00,0.001,0.020,0.0
ewise,1048576,64,no,PASS,0.00e+00,0.421,0.020,20.7
ewise,1,256,no,PASS,0.00e+00,0.000,0.020,0.0
ewise,32,256,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,33,256,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,64,256,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,256,256,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,257,256,no,PASS,0.00e+00,0.000,0.019,0.0
ewise,1024,256,no,PASS,0.00e+00,0.001,0.019,0.0
ewise,1048576,256,no,PASS,0.00e+00,0.464,0.019,23.9
stencil,32x8,32x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,33x9,32x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,64x64,32x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,128x128,32x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,256x256,32x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,512x512,32x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,1024x1024,32x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,511x513,32x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,32x8,16x16,yes,SKIP,N/A,N/A,N/A,N/A
stencil,33x9,16x16,yes,SKIP,N/A,N/A,N/A,N/A
stencil,64x64,16x16,yes,SKIP,N/A,N/A,N/A,N/A
stencil,128x128,16x16,yes,SKIP,N/A,N/A,N/A,N/A
stencil,256x256,16x16,yes,SKIP,N/A,N/A,N/A,N/A
stencil,512x512,16x16,yes,SKIP,N/A,N/A,N/A,N/A
stencil,1024x1024,16x16,yes,SKIP,N/A,N/A,N/A,N/A
stencil,511x513,16x16,yes,SKIP,N/A,N/A,N/A,N/A
stencil,32x8,64x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,33x9,64x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,64x64,64x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,128x128,64x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,256x256,64x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,512x512,64x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,1024x1024,64x8,yes,SKIP,N/A,N/A,N/A,N/A
stencil,511x513,64x8,yes,SKIP,N/A,N/A,N/A,N/A
reduction,1,64,no,PASS,0.00e+00,0.003,0.017,0.2
reduction,255,64,no,PASS,1.20e-07,0.003,0.019,0.2
reduction,256,64,no,PASS,1.80e-07,0.003,0.018,0.2
reduction,257,64,no,PASS,5.99e-08,0.003,0.018,0.2
reduction,1024,64,no,PASS,9.03e-07,0.003,0.021,0.1
reduction,65536,64,no,PASS,9.57e-07,0.013,0.118,0.1
reduction,1048576,64,no,PASS,3.11e-05,0.181,1.622,0.1
reduction,16777216,64,no,PASS,3.18e-05,2.879,25.680,0.1
reduction,1,128,no,PASS,0.00e+00,0.003,0.017,0.2
reduction,255,128,no,PASS,1.20e-07,0.003,0.019,0.2
reduction,256,128,no,PASS,6.01e-08,0.004,0.018,0.2
reduction,257,128,no,PASS,1.80e-07,0.003,0.018,0.2
reduction,1024,128,no,PASS,4.22e-07,0.003,0.021,0.1
reduction,65536,128,no,PASS,1.02e-06,0.014,0.118,0.1
reduction,1048576,128,no,PASS,2.51e-05,0.189,1.623,0.1
reduction,16777216,128,no,PASS,2.27e-05,2.881,25.680,0.1
reduction,1,256,no,PASS,0.00e+00,0.003,0.017,0.2
reduction,255,256,no,PASS,1.20e-07,0.003,0.019,0.2
reduction,256,256,no,PASS,6.01e-08,0.003,0.018,0.2
reduction,257,256,no,PASS,1.20e-07,0.003,0.018,0.2
reduction,1024,256,no,PASS,4.22e-07,0.003,0.020,0.2
reduction,65536,256,no,PASS,1.56e-06,0.014,0.118,0.1
reduction,1048576,256,no,PASS,2.75e-05,0.175,1.624,0.1
reduction,16777216,256,no,PASS,2.18e-05,2.868,25.679,0.1
reduction_hierarchical,1,256,no,PASS,0.00e+00,0.002,0.012,0.2
reduction_hierarchical,32,256,no,PASS,0.00e+00,0.002,0.011,0.2
reduction_hierarchical,33,256,no,PASS,0.00e+00,0.003,0.011,0.3
reduction_hierarchical,255,256,no,PASS,0.00e+00,0.002,0.011,0.2
reduction_hierarchical,256,256,no,PASS,6.01e-08,0.002,0.011,0.2
reduction_hierarchical,257,256,no,PASS,0.00e+00,0.003,0.011,0.2
reduction_hierarchical,1000,256,no,PASS,6.15e-08,0.003,0.011,0.3
reduction_hierarchical,1024,256,no,PASS,0.00e+00,0.003,0.011,0.2
reduction_hierarchical,65536,256,no,PASS,5.98e-08,0.013,0.012,1.1
reduction_hierarchical,65537,256,no,PASS,1.20e-07,0.013,0.012,1.1
reduction_hierarchical,262144,256,no,PASS,1.19e-07,0.046,0.013,3.5
reduction_hierarchical,1048576,256,no,PASS,1.79e-06,0.174,0.018,9.9
reduction_hierarchical,16777216,256,no,PASS,4.83e-06,2.852,0.112,25.4
